document_id,stock_code,ticker,report_year,market
MDA_4065_PPB_2022,4065,PPB,2022,Main
MDA_4065_PPB_2023,4065,PPB,2023,Main
MDA_4065_PPB_2024,4065,PPB,2024,Main
MDA_4707_NESTLE_2020,4707,NESTLE,2020,Main
MDA_4707_NESTLE_2021,4707,NESTLE,2021,Main
MDA_4707_NESTLE_2022,4707,NESTLE,2022,Main
MDA_4707_NESTLE_2023,4707,NESTLE,2023,Main
MDA_4707_NESTLE_2024,4707,NESTLE,2024,Main
MDA_5008_HARISON_2021,5008,HARISON,2021,Main
MDA_5008_HARISON_2022,5008,HARISON,2022,Main
MDA_5008_HARISON_2023,5008,HARISON,2023,Main
MDA_5008_HARISON_2024,5008,HARISON,2024,Main
MDA_5102_GCB_2020,5102,GCB,2020,Main
MDA_5102_GCB_2021,5102,GCB,2021,Main
MDA_5102_GCB_2022,5102,GCB,2022,Main
MDA_5102_GCB_2023,5102,GCB,2023,Main
MDA_5102_GCB_2024,5102,GCB,2024,Main
MDA_5157_SG_2020,5157,SG,2020,Main
MDA_5157_SG_2021,5157,SG,2021,Main
MDA_5157_SG_2022,5157,SG,2022,Main
MDA_5157_SG_2023,5157,SG,2023,Main
MDA_5157_SG_2024,5157,SG,2024,Main
MDA_5187_HBGLOB_2020,5187,HBGLOB,2020,Main
MDA_5187_HBGLOB_2021,5187,HBGLOB,2021,Main
MDA_5187_HBGLOB_2022,5187,HBGLOB,2022,Main
MDA_5187_HBGLOB_2023,5187,HBGLOB,2023,Main
MDA_5187_HBGLOB_2024,5187,HBGLOB,2024,Main
MDA_5188_CNOUHUA_2020,5188,CNOUHUA,2020,Main
MDA_5188_CNOUHUA_2021,5188,CNOUHUA,2021,Main
MDA_5188_CNOUHUA_2022,5188,CNOUHUA,2022,Main
MDA_5188_CNOUHUA_2023,5188,CNOUHUA,2023,Main
MDA_5188_CNOUHUA_2024,5188,CNOUHUA,2024,Main
MDA_5202_MSM_2020,5202,MSM,2020,Main
MDA_5202_MSM_2021,5202,MSM,2021,Main
MDA_5202_MSM_2022,5202,MSM,2022,Main
MDA_5202_MSM_2023,5202,MSM,2023,Main
MDA_5202_MSM_2024,5202,MSM,2024,Main
MDA_5306_FFB_2022,5306,FFB,2022,Main
MDA_5306_FFB_2023,5306,FFB,2023,Main
MDA_5306_FFB_2024,5306,FFB,2024,Main
MDA_5533_OCB_2020,5533,OCB,2020,Main
MDA_5533_OCB_2021,5533,OCB,2021,Main
MDA_5533_OCB_2022,5533,OCB,2022,Main
MDA_5533_OCB_2023,5533,OCB,2023,Main
MDA_5533_OCB_2024,5533,OCB,2024,Main
MDA_6203_KHEESAN_2021,6203,KHEESAN,2021,Main
MDA_6203_KHEESAN_2022,6203,KHEESAN,2022,Main
MDA_6203_KHEESAN_2023,6203,KHEESAN,2023,Main
MDA_6203_KHEESAN_2024,6203,KHEESAN,2024,Main
MDA_6432_APOLLO_2020,6432,APOLLO,2020,Main
MDA_6432_APOLLO_2021,6432,APOLLO,2021,Main
MDA_6432_APOLLO_2022,6432,APOLLO,2022,Main
MDA_6432_APOLLO_2023,6432,APOLLO,2023,Main
MDA_6432_APOLLO_2024,6432,APOLLO,2024,Main
MDA_7035_CCK_2020,7035,CCK,2020,Main
MDA_7035_CCK_2021,7035,CCK,2021,Main
MDA_7035_CCK_2022,7035,CCK,2022,Main
MDA_7035_CCK_2023,7035,CCK,2023,Main
MDA_7035_CCK_2024,7035,CCK,2024,Main
MDA_7103_SPRITZER_2020,7103,SPRITZER,2020,Main
MDA_7103_SPRITZER_2021,7103,SPRITZER,2021,Main
MDA_7103_SPRITZER_2022,7103,SPRITZER,2022,Main
MDA_7103_SPRITZER_2023,7103,SPRITZER,2023,Main
MDA_7103_SPRITZER_2024,7103,SPRITZER,2024,Main
MDA_7107_OFI_2020,7107,OFI,2020,Main
