document_id,ticker,company_name,title,source_name,publish_date,url,text_length,alias_hits,strong_alias_hits,medium_alias_hits,weak_alias_hits,relevance_status,relevance_reason,include_flag,exclude_reason,confidence_tier,main_model_include_flag,broad_include_flag,strict_company_focus_flag,high_confidence_include_flag,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,raw_article_hash,raw_row_key,filter_mode,filter_version,original_file,original_file_hash
NEWS_CANDIDATE_002821_e25e1a9e,APOLLO,Apollo,"Apollo, KKR and Stonepeak to invest in JV to fund Intel's Ireland facility, Bloomberg reports",The Star,2024-04-27,https://www.thestar.com.my/tech/tech-news/2024/04/27/apollo-kkr-and-stonepeak-to-invest-in-jv-to-fund-intel039s-ireland-facility-bloomberg-reports,272,APOLLO,,,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,7b02d71af099d8552aa18ff177cd56cbc8e4a76604a5079e929419632d44c23b,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 193}:6bcb4e4db8d6",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002833_da5b202a,APOLLO,Apollo,Shareholding spread on Apollo’s agenda,The Star,2024-03-21,https://www.thestar.com.my/business/business-news/2024/03/21/shareholding-spread-on-apollos-agenda,586,Apollo Food|APOLLO,,Apollo Food,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,cf70079bf7e56904564f2ecf900abfba975911ac77464f8d4898bf7837eb5ae1,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 205}:94ace01c11a7",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_002834_821fef53,APOLLO,Apollo,Apollo Food to address shareholding spread,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/apollo-food-to-address-shareholding-spread,927,Apollo Food|APOLLO,,Apollo Food,APOLLO,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,Yes,Yes,No,Yes,ticker_only_title_context,1,0,0b6e6fedf27512944552f11eefa54aedac7ac98e0fdbf7b06a4c03135479289a,"New_news_APOLLO_APOLLO_news_csv:{""row_number"": 206}:2938f439ce19",manual_preserve,manual_preserve_v1,New_news/APOLLO/APOLLO_news.csv,5f0cca94ae07ce6cf04290515c46110de7027f6855271de6768221bd297cf4b2
NEWS_CANDIDATE_003326_45c226ed,CCK,CCK,CCK shares rise after special dividend announcement,The Star,2024-12-27,https://www.thestar.com.my/business/business-news/2024/12/27/cck-shares-rise-after-special-dividend-announcement,830,CCK,,,CCK,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,26be45febfa5e4ef34cf4cac53ed545ec0661e588f238c03899a25f83982dfd8,"New_news_CCK_CCK_news_csv:{""row_number"": 10}:ebde45838488",manual_preserve,manual_preserve_v1,New_news/CCK/CCK_news.csv,24b22fa75c5756fc2a7ce4dd74181c862ecab1937cdf05b0625b0bef9abd1d34
NEWS_CANDIDATE_003328_e7b8b362,CCK,CCK,CCK Consolidated declares special dividend of 5.0 sen,The Star,2024-12-26,https://www.thestar.com.my/business/business-news/2024/12/26/cck-consolidated-declares-special-dividend-of-50-sen,421,CCK,,,CCK,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,17b455c2d79576d79b0c65de82379f107776c4a59a7aa4597f6a1365a64ab5ab,"New_news_CCK_CCK_news_csv:{""row_number"": 12}:be9f70e8970c",manual_preserve,manual_preserve_v1,New_news/CCK/CCK_news.csv,24b22fa75c5756fc2a7ce4dd74181c862ecab1937cdf05b0625b0bef9abd1d34
NEWS_CANDIDATE_003335_823a779e,CCK,CCK,CCK sells 40% stake in Indonesian subsidiary PT Adilmart to Creador,The Star,2024-09-12,https://www.thestar.com.my/business/business-news/2024/09/12/cck-sells-40-stake-in-indonesian-subsidiary-pt-adilmart-to-creador,1427,CCK,,,CCK,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,aff049515500c9e201fea2be540a3c9c7e4d3284139fbd067155b8de90f1021a,"New_news_CCK_CCK_news_csv:{""row_number"": 19}:0209466dfd24",manual_preserve,manual_preserve_v1,New_news/CCK/CCK_news.csv,24b22fa75c5756fc2a7ce4dd74181c862ecab1937cdf05b0625b0bef9abd1d34
NEWS_CANDIDATE_005592_5b2c55b2,ETA,Annual Report 2020,"Rex Industry changes name to ETA Group, effective Dec 8",The Star,2025-12-03,https://www.thestar.com.my/business/business-news/2025/12/03/rex-industry-changes-name-to-eta-group-effective-dec-8,384,ETA,,,ETA,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,ff520997408472744ef30749d0becf5fb25a79d8a042c7909a6266429d4e6e5c,"New_news_ETA_ETA_news_csv:{""row_number"": 1762}:8e2dda2f74e8",manual_preserve,manual_preserve_v1,New_news/ETA/ETA_news.csv,f0b55954c0065ebcf31054445af35d2e9e0477f868dfeb0feb6c2a7fbf338a69
NEWS_CANDIDATE_014798_1de07235,ETA,Annual Report 2020,Beware of scam sites when applying for ETA to Britain,The Star,2025-07-11,https://www.thestar.com.my/lifestyle/travel/2025/07/11/beware-of-scam-sites-when-applying-for-eta-to-britain,1932,ETA,,,ETA,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,0ae7a09c59528d4121b27bd131cbb91745e501042c0b89e3c34c0baf60ba9c9d,"New_news_ETA_ETA_news_csv:{""row_number"": 10968}:d2bc29c3e06e",manual_preserve,manual_preserve_v1,New_news/ETA/ETA_news.csv,f0b55954c0065ebcf31054445af35d2e9e0477f868dfeb0feb6c2a7fbf338a69
NEWS_CANDIDATE_031859_037ed224,ETA,Annual Report 2020,"Singaporeans will need ETA permit to enter the UK from Jan 8, 2025",The Star,2024-09-13,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/09/13/singaporeans-will-need-eta-permit-to-enter-the-uk-from-jan-8-2025,1434,ETA,,,ETA,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,0,0,130af59f0883795110559d2d8a5c5e581ca7ee47d7ae709cfed2fa78b67d7d54,"New_news_ETA_ETA_news_csv:{""row_number"": 28029}:3175640777a7",manual_preserve,manual_preserve_v1,New_news/ETA/ETA_news.csv,f0b55954c0065ebcf31054445af35d2e9e0477f868dfeb0feb6c2a7fbf338a69
NEWS_CANDIDATE_044230_fc929745,FFB,FarmFresh,FFB production increase poised to buoy Kim Loong,The Star,2025-12-31,https://www.thestar.com.my/business/business-news/2025/12/31/ffb-production-increase-poised-to-buoy-kim-loong,2646,FFB,,,FFB,low_confidence_company_news,Ticker-only weak alias appears in title with business or F&B context.,Manual,,low,No,No,No,No,Yes,ticker_only_title_context,1,0,3baafda9b1c135b348bd7bdf1b4a24b4488c7d199a055b416c9d455c76071da3,"New_news_FFB_FFB_news_csv:{""row_number"": 1}:3ad44e44805f",manual_preserve,manual_preserve_v1,New_news/FFB/FFB_news.csv,3b1438da63b59562389e6dc91e200a750645acbb8934b7e0a0ecf1b3b63bd2ec
