document_id,stock_code,ticker,year,parts,auditor_tokens,auditor_firm,big4,auditor_method,total_assets_rm000,ta_page,ta_line,profit_rm000,loss_flag,pl_page,pl_line,unit,notes
MDA_3026_DLADY_2024,3026,DLADY,2024,3026_DLADY_2024_AnnualReport_part1_official.txt|3026_DLADY_2024_AnnualReport_part2_official.txt,PwC,PwC,1,audit_window_p218,1073732,176,"Total assets 1,073,732 946,876",96647,0,202,"2024 2023 Net profit for the financial year (RM'000) 96,647 72,394",RM'000,
MDA_3255_HEIM_2020,3255,HEIM,2020,3255_HEIM_2020_AnnualReport_part1_official.txt|3255_HEIM_2020_AnnualReport_part2_official.txt,Deloitte,Deloitte,1,audit_window_p88,1046708,90,"Total Assets 1,046,708 1,099,993 612,251 590,201",312968,0,91,"As at 1 January 2019 151,049 - 220,098 371,147 Total comprehensive income for the year - - 312,968 312,968",RM'000,
MDA_3255_HEIM_2021,3255,HEIM,2021,3255_HEIM_2021_AnnualReport_part1_official.txt|3255_HEIM_2021_AnnualReport_part2_official.txt,Deloitte,Deloitte,1,audit_window_p81,1088173,83,"Total Assets 1,088,173 1,046,708 611,198 612,251",154197,0,84,"As at 1 January 2020 151,049 - 243,052 394,101 Total comprehensive income for the year - - 154,197 154,197",RM'000,
MDA_3255_HEIM_2022,3255,HEIM,2022,3255_HEIM_2022_AnnualReport_part1_official.txt|3255_HEIM_2022_AnnualReport_part2_official.txt|3255_HEIM_2022_AnnualReport_part3_official.txt,Deloitte,Deloitte,1,audit_window_p118,1408221,120,"Total Assets 1,408,221 1,088,173 831,698 611,198",245678,0,121,"As at 1 January 2021 151,049 470 197,864 349,383 Total comprehensive income for the year - - 245,678 245,678",RM'000,
MDA_3255_HEIM_2023,3255,HEIM,2023,3255_HEIM_2023_AnnualReport_part1_official.txt|3255_HEIM_2023_AnnualReport_part2_official.txt|3255_HEIM_2023_AnnualReport_part3_official.txt,Deloitte,Deloitte,1,audit_window_p120,1247429,122,"Total Assets 1,247,429 1,408,221 738,088 831,698",412824,0,123,"As at 1 January 2022 151,049 470 244,157 395,676 Total comprehensive income for the year - - 412,824 412,824",RM'000,
MDA_3255_HEIM_2024,3255,HEIM,2024,3255_HEIM_2024_AnnualReport_part1_official.txt|3255_HEIM_2024_AnnualReport_part2_official.txt,Deloitte,Deloitte,1,audit_window_p131,1280188,133,"Total Assets 1,280,188 1,247,429 715,198 738,088",386800,0,134,"As at 1 January 2023 151,049 647 336,757 488,453 Total comprehensive income for the year - - 386,800 386,800",RM'000,
MDA_3662_MFLOUR_2020,3662,MFLOUR,2020,3662_MFLOUR_2020_AnnualReport_part1_official.txt|3662_MFLOUR_2020_AnnualReport_part2_official.txt|3662_MFLOUR_2020_AnnualReport_part3_official.txt,KPMG,KPMG,1,auditors_label_p5,2582002,92,"Total assets 2,582,002 2,582,132 1,496,609 1,497,488",20584,0,95,"RM'000 RM'000 RM'000 RM'000 Profit for the year 20,584 60,602 54,178 26,483",RM'000,
MDA_3662_MFLOUR_2021,3662,MFLOUR,2021,3662_MFLOUR_2021_AnnualReport_part1_official.txt|3662_MFLOUR_2021_AnnualReport_part2_official.txt|3662_MFLOUR_2021_AnnualReport_part3_official.txt,KPMG,KPMG,1,auditors_label_p5,2731613,96,"Total assets		 2,731,613 2,582,002 1,682,775 1,496,609",198542,0,100,"RM'000 RM'000 RM'000 RM'000 Profit for the year 			 198,542 20,584 18,557 54,178",RM'000,
MDA_3662_MFLOUR_2022,3662,MFLOUR,2022,3662_MFLOUR_2022_AnnualReport_part1_official.txt|3662_MFLOUR_2022_AnnualReport_part2_official.txt|3662_MFLOUR_2022_AnnualReport_part3_official.txt,KPMG,KPMG,1,audit_window_p192,2731427,96,"Total assets		 2,731,427 2,731,613 1,758,605 1,682,775",154000,0,100,"RM'000 RM'000 RM'000 RM'000 Profit for the year 154,000 198,542 124,272 18,557",RM'000,
MDA_3662_MFLOUR_2023,3662,MFLOUR,2023,3662_MFLOUR_2023_AnnualReport_part1_official.txt|3662_MFLOUR_2023_AnnualReport_part2_official.txt,KPMG,KPMG,1,auditors_label_p5,2580740,66,"Total assets		 2,580,740 2,731,427 1,447,983 1,758,605",5285,0,70,"RM'000 RM'000 RM'000 RM'000 Profit/(Loss) for the year		 5,285 154,000 (70,444) 124,272",RM'000,
