pdf_file,txt_file,status,pages,chars
4065_PPB_2020_AnnualReport_part2_official.pdf,4065_PPB_2020_AnnualReport_part2_official.txt,ok,35,351869
4065_PPB_2020_AnnualReport_part3_official.pdf,4065_PPB_2020_AnnualReport_part3_official.txt,ok,60,528946
4065_PPB_2021_AnnualReport_part1_official.pdf,4065_PPB_2021_AnnualReport_part1_official.txt,ok,39,261135
4065_PPB_2021_AnnualReport_part2_official.pdf,4065_PPB_2021_AnnualReport_part2_official.txt,ok,66,506325
4065_PPB_2022_AnnualReport_part1_official.pdf,4065_PPB_2022_AnnualReport_part1_official.txt,ok,17,111980
4065_PPB_2022_AnnualReport_part2_official.pdf,4065_PPB_2022_AnnualReport_part2_official.txt,ok,19,175399
4065_PPB_2022_AnnualReport_part3_official.pdf,4065_PPB_2022_AnnualReport_part3_official.txt,ok,57,525586
4065_PPB_2023_AnnualReport_part1_official.pdf,4065_PPB_2023_AnnualReport_part1_official.txt,ok,33,275204
4065_PPB_2023_AnnualReport_part2_official.pdf,4065_PPB_2023_AnnualReport_part2_official.txt,ok,55,519361
4065_PPB_2024_AnnualReport_part1_official.pdf,4065_PPB_2024_AnnualReport_part1_official.txt,ok,34,293150
4065_PPB_2024_AnnualReport_part2_official.pdf,4065_PPB_2024_AnnualReport_part2_official.txt,ok,55,486405
4707_NESTLE_2020_AnnualReport_part1_official.pdf,4707_NESTLE_2020_AnnualReport_part1_official.txt,ok,83,221848
4707_NESTLE_2021_AnnualReport_part1_official.pdf,4707_NESTLE_2021_AnnualReport_part1_official.txt,ok,69,255198
4707_NESTLE_2022_AnnualReport_part1_official.pdf,4707_NESTLE_2022_AnnualReport_part1_official.txt,ok,64,253655
4707_NESTLE_2023_AnnualReport_part1_official.pdf,4707_NESTLE_2023_AnnualReport_part1_official.txt,ok,74,289376
4707_NESTLE_2024_AnnualReport_part1_official.pdf,4707_NESTLE_2024_AnnualReport_part1_official.txt,ok,73,328463
5008_HARISON_2021_AnnualReport_part1_official.pdf,5008_HARISON_2021_AnnualReport_part1_official.txt,ok,78,217642
5008_HARISON_2022_AnnualReport_part1_official.pdf,5008_HARISON_2022_AnnualReport_part1_official.txt,ok,153,549802
5008_HARISON_2023_AnnualReport_part1_official.pdf,5008_HARISON_2023_AnnualReport_part1_official.txt,ok,149,532428
5008_HARISON_2024_AnnualReport_part1_official.pdf,5008_HARISON_2024_AnnualReport_part1_official.txt,ok,167,557697
5102_GCB_2020_AnnualReport_part1_official.pdf,5102_GCB_2020_AnnualReport_part1_official.txt,ok,206,631106
5102_GCB_2021_AnnualReport_part1_official.pdf,5102_GCB_2021_AnnualReport_part1_official.txt,ok,245,887888
5102_GCB_2022_AnnualReport_part1_official.pdf,5102_GCB_2022_AnnualReport_part1_official.txt,ok,40,120065
5102_GCB_2022_AnnualReport_part2_official.pdf,5102_GCB_2022_AnnualReport_part2_official.txt,ok,56,213605
5102_GCB_2022_AnnualReport_part3_official.pdf,5102_GCB_2022_AnnualReport_part3_official.txt,ok,192,669426
5102_GCB_2023_AnnualReport_part1_official.pdf,5102_GCB_2023_AnnualReport_part1_official.txt,ok,73,237114
5102_GCB_2023_AnnualReport_part2_official.pdf,5102_GCB_2023_AnnualReport_part2_official.txt,ok,212,669415
5102_GCB_2024_AnnualReport_part1_official.pdf,5102_GCB_2024_AnnualReport_part1_official.txt,ok,75,229064
5102_GCB_2024_AnnualReport_part2_official.pdf,5102_GCB_2024_AnnualReport_part2_official.txt,ok,90,329187
5102_GCB_2024_AnnualReport_part3_official.pdf,5102_GCB_2024_AnnualReport_part3_official.txt,ok,116,415095
5157_SG_2020_AnnualReport_part1_official.pdf,5157_SG_2020_AnnualReport_part1_official.txt,ok,147,574081
5157_SG_2021_AnnualReport_part1_official.pdf,5157_SG_2021_AnnualReport_part1_official.txt,ok,145,550436
5157_SG_2022_AnnualReport_part1_official.pdf,5157_SG_2022_AnnualReport_part1_official.txt,ok,135,536043
5157_SG_2023_AnnualReport_part1_official.pdf,5157_SG_2023_AnnualReport_part1_official.txt,ok,139,535733
5157_SG_2024_AnnualReport_part1_official.pdf,5157_SG_2024_AnnualReport_part1_official.txt,ok,135,490661
5187_HBGLOB_2020_AnnualReport_part1_official.pdf,5187_HBGLOB_2020_AnnualReport_part1_official.txt,ok,117,406598
5187_HBGLOB_2021_AnnualReport_part1_official.pdf,5187_HBGLOB_2021_AnnualReport_part1_official.txt,ok,1193,492792
5187_HBGLOB_2022_AnnualReport_part1_official.pdf,5187_HBGLOB_2022_AnnualReport_part1_official.txt,ok,145,528553
5187_HBGLOB_2023_AnnualReport_part1_official.pdf,5187_HBGLOB_2023_AnnualReport_part1_official.txt,ok,182,563537
5187_HBGLOB_2024_AnnualReport_part1_official.pdf,5187_HBGLOB_2024_AnnualReport_part1_official.txt,ok,177,532807
5188_CNOUHUA_2020_AnnualReport_part1_official.pdf,5188_CNOUHUA_2020_AnnualReport_part1_official.txt,ok,47,128276
5188_CNOUHUA_2020_AnnualReport_part2_official.pdf,5188_CNOUHUA_2020_AnnualReport_part2_official.txt,ok,66,133875
5188_CNOUHUA_2021_AnnualReport_part1_official.pdf,5188_CNOUHUA_2021_AnnualReport_part1_official.txt,ok,53,138243
5188_CNOUHUA_2021_AnnualReport_part2_official.pdf,5188_CNOUHUA_2021_AnnualReport_part2_official.txt,ok,67,128880
5188_CNOUHUA_2022_AnnualReport_part1_official.pdf,5188_CNOUHUA_2022_AnnualReport_part1_official.txt,ok,53,144043
5188_CNOUHUA_2022_AnnualReport_part2_official.pdf,5188_CNOUHUA_2022_AnnualReport_part2_official.txt,ok,69,132954
5188_CNOUHUA_2023_AnnualReport_part1_official.pdf,5188_CNOUHUA_2023_AnnualReport_part1_official.txt,ok,58,158288
5188_CNOUHUA_2023_AnnualReport_part2_official.pdf,5188_CNOUHUA_2023_AnnualReport_part2_official.txt,ok,68,128679
5188_CNOUHUA_2024_AnnualReport_part1_official.pdf,5188_CNOUHUA_2024_AnnualReport_part1_official.txt,ok,54,141802
5188_CNOUHUA_2024_AnnualReport_part2_official.pdf,5188_CNOUHUA_2024_AnnualReport_part2_official.txt,ok,65,125925
5202_MSM_2020_AnnualReport_part1_official.pdf,5202_MSM_2020_AnnualReport_part1_official.txt,ok,258,1202258
5202_MSM_2021_AnnualReport_part1_official.pdf,5202_MSM_2021_AnnualReport_part1_official.txt,ok,58,109360
5202_MSM_2021_AnnualReport_part2_official.pdf,5202_MSM_2021_AnnualReport_part2_official.txt,ok,61,144765
5202_MSM_2021_AnnualReport_part3_official.pdf,5202_MSM_2021_AnnualReport_part3_official.txt,ok,67,197211
5202_MSM_2021_AnnualReport_part4_official.pdf,5202_MSM_2021_AnnualReport_part4_official.txt,ok,84,261807
5202_MSM_2022_AnnualReport_part1_official.pdf,5202_MSM_2022_AnnualReport_part1_official.txt,ok,58,188363
5202_MSM_2022_AnnualReport_part2_official.pdf,5202_MSM_2022_AnnualReport_part2_official.txt,ok,216,860327
5202_MSM_2023_AnnualReport_part1_official.pdf,5202_MSM_2023_AnnualReport_part1_official.txt,ok,42,113810
5202_MSM_2023_AnnualReport_part2_official.pdf,5202_MSM_2023_AnnualReport_part2_official.txt,ok,39,133699
5202_MSM_2023_AnnualReport_part3_official.pdf,5202_MSM_2023_AnnualReport_part3_official.txt,ok,194,826337
5202_MSM_2024_AnnualReport_part1_official.pdf,5202_MSM_2024_AnnualReport_part1_official.txt,ok,110,395479
5202_MSM_2024_AnnualReport_part2_official.pdf,5202_MSM_2024_AnnualReport_part2_official.txt,ok,202,806179
5306_FFB_2022_AnnualReport_part1_official.pdf,5306_FFB_2022_AnnualReport_part1_official.txt,ok,56,159409
5306_FFB_2022_AnnualReport_part2_official.pdf,5306_FFB_2022_AnnualReport_part2_official.txt,ok,175,600976
5306_FFB_2023_AnnualReport_part1_official.pdf,5306_FFB_2023_AnnualReport_part1_official.txt,ok,46,81156
5306_FFB_2023_AnnualReport_part2_official.pdf,5306_FFB_2023_AnnualReport_part2_official.txt,ok,126,298243
5306_FFB_2023_AnnualReport_part3_official.pdf,5306_FFB_2023_AnnualReport_part3_official.txt,ok,669,506112
5306_FFB_2024_AnnualReport_part1_official.pdf,5306_FFB_2024_AnnualReport_part1_official.txt,ok,22,41122
5306_FFB_2024_AnnualReport_part2_official.pdf,5306_FFB_2024_AnnualReport_part2_official.txt,ok,16,42967
5306_FFB_2024_AnnualReport_part3_official.pdf,5306_FFB_2024_AnnualReport_part3_official.txt,ok,106,333834
5306_FFB_2024_AnnualReport_part4_official.pdf,5306_FFB_2024_AnnualReport_part4_official.txt,ok,147,473773
5533_OCB_2020_AnnualReport_part1_official.pdf,5533_OCB_2020_AnnualReport_part1_official.txt,ok,150,509077
5533_OCB_2021_AnnualReport_part1_official.pdf,5533_OCB_2021_AnnualReport_part1_official.txt,ok,156,537295
5533_OCB_2022_AnnualReport_part1_official.pdf,5533_OCB_2022_AnnualReport_part1_official.txt,ok,156,542418
5533_OCB_2023_AnnualReport_part1_official.pdf,5533_OCB_2023_AnnualReport_part1_official.txt,ok,146,529354
5533_OCB_2024_AnnualReport_part1_official.pdf,5533_OCB_2024_AnnualReport_part1_official.txt,ok,156,518996
6203_KHEESAN_2021_AnnualReport_part1_official.pdf,6203_KHEESAN_2021_AnnualReport_part1_official.txt,ok,149,493714
6203_KHEESAN_2022_AnnualReport_part1_official.pdf,6203_KHEESAN_2022_AnnualReport_part1_official.txt,ok,153,495001
6203_KHEESAN_2023_AnnualReport_part1_official.pdf,6203_KHEESAN_2023_AnnualReport_part1_official.txt,ok,346,438405
6203_KHEESAN_2024_AnnualReport_part1_official.pdf,6203_KHEESAN_2024_AnnualReport_part1_official.txt,ok,140,438172
6432_APOLLO_2020_AnnualReport_part1_official.pdf,6432_APOLLO_2020_AnnualReport_part1_official.txt,ok,135,390125
6432_APOLLO_2021_AnnualReport_part1_official.pdf,6432_APOLLO_2021_AnnualReport_part1_official.txt,ok,135,421193
6432_APOLLO_2022_AnnualReport_part1_official.pdf,6432_APOLLO_2022_AnnualReport_part1_official.txt,ok,135,388054
6432_APOLLO_2023_AnnualReport_part1_official.pdf,6432_APOLLO_2023_AnnualReport_part1_official.txt,ok,133,397960
6432_APOLLO_2024_AnnualReport_part1_official.pdf,6432_APOLLO_2024_AnnualReport_part1_official.txt,ok,115,330316
