document_id,stock_code,ticker,company_name,year,auditor_firm,big4,auditor_method,total_assets_reported,unit,profit_loss_reported,loss_flag,ta_source_page,pl_source_page,notes
MDA_5187_HBGLOB_2023,5187,HBGLOB,HBGLOB,2023,UHY,0,auditors_label_p3,222336,RMB'000,-45840,1,86,88,
MDA_5187_HBGLOB_2024,5187,HBGLOB,HBGLOB,2024,UHY,0,auditors_label_p3,215231,RMB'000,-3612,1,85,87,
MDA_5188_CNOUHUA_2020,5188,CNOUHUA,CNOUHUA,2020,UHY,0,auditors_label_p48,196000,RMB'000,-15940,1,,,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2021,5188,CNOUHUA,CNOUHUA,2021,UHY,0,auditors_label_p54,194790,RMB'000,-4080,1,,,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2022,5188,CNOUHUA,CNOUHUA,2022,UHY,0,auditors_label_p54,168530,RMB'000,-24690,1,,,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2023,5188,CNOUHUA,CNOUHUA,2023,UHY,0,auditors_label_p59,163060,RMB'000,-7070,1,,,ta_external_web;profit_external_web
MDA_5188_CNOUHUA_2024,5188,CNOUHUA,CNOUHUA,2024,UHY,0,appointment_p4,111240,RMB'000,-46670,1,,,ta_external_web;profit_external_web
MDA_5202_MSM_2020,5202,MSM,MSM [s],2020,PwC,1,audit_window_p134,2770280,RM'000,-71228,1,137,139,
MDA_5202_MSM_2021,5202,MSM,MSM [s],2021,PwC,1,auditors_label_p24,2870839,RM'000,-178712,1,42,,profit_from_next_year_comparative
MDA_5202_MSM_2022,5202,MSM,MSM [s],2022,PwC,1,audit_window_p146,2811793,RM'000,-178712,1,149,151,
MDA_5202_MSM_2023,5202,MSM,MSM [s],2023,PwC,1,audit_window_p167,2890753,RM'000,-49884,1,169,168,
MDA_5202_MSM_2024,5202,MSM,MSM [s],2024,PwC,1,audit_window_p192,3186514,RM'000,31254,0,194,193,
MDA_5306_FFB_2022,5306,FFB,FFB [s],2022,KPMG,1,audit_window_p136,1010014392,RM,78565346,0,137,138,
MDA_5306_FFB_2023,5306,FFB,FFB [s],2023,KPMG,1,audit_window_p256,1062635894,RM,49934,0,258,,profit_from_next_year_comparative
MDA_5306_FFB_2024,5306,FFB,FFB [s],2024,KPMG,1,audit_window_p194,1279601,RM'000,63281,0,195,196,
MDA_5533_OCB_2020,5533,OCB,OCB [s],2020,Grant Thornton,0,audit_window_p57,276770,RM'000,2584,0,58,117,
MDA_5533_OCB_2021,5533,OCB,OCB [s],2021,Grant Thornton,0,audit_window_p63,302595,RM'000,-14296,1,64,125,
MDA_5533_OCB_2022,5533,OCB,OCB [s],2022,Grant Thornton,0,audit_window_p66,301341,RM'000,-3768,1,67,124,
MDA_5533_OCB_2023,5533,OCB,OCB [s],2023,Grant Thornton,0,audit_window_p72,313035,RM'000,8519,0,73,115,
MDA_5533_OCB_2024,5533,OCB,OCB [s],2024,Grant Thornton,0,audit_window_p74,299950,RM'000,8841,0,75,125,
MDA_6203_KHEESAN_2021,6203,KHEESAN,KHEESAN,2021,Kreston,0,audit_window_p52,74911530,RM,-58325818,1,53,54,
MDA_6203_KHEESAN_2022,6203,KHEESAN,KHEESAN,2022,Kreston,0,audit_window_p48,70814096,RM,-13735839,1,49,53,profit_manual_verified
MDA_6203_KHEESAN_2023,6203,KHEESAN,KHEESAN,2023,Kreston,0,audit_window_p126,70631964,RM,-2539923,1,128,134,
MDA_6203_KHEESAN_2024,6203,KHEESAN,KHEESAN,2024,Kreston,0,audit_window_p58,71898278,RM,1725976,0,,62,ta_manual_verified
MDA_6432_APOLLO_2020,6432,APOLLO,APOLLO [s],2020,BDO,0,audit_window_p63,263306167,RM,19942393,0,115,115,
MDA_6432_APOLLO_2021,6432,APOLLO,APOLLO [s],2021,BDO,0,audit_window_p65,260523349,RM,23282051,0,117,117,
MDA_6432_APOLLO_2022,6432,APOLLO,APOLLO [s],2022,BDO,0,audit_window_p64,242474359,RM,13329537,0,117,117,
MDA_6432_APOLLO_2023,6432,APOLLO,APOLLO [s],2023,BDO,0,audit_window_p63,254969399,RM,39881068,0,116,115,
MDA_6432_APOLLO_2024,6432,APOLLO,APOLLO [s],2024,KPMG,1,auditors_label_p12,246352791,RM,54127436,0,66,61,
MDA_7035_CCK_2020,7035,CCK,CCK [s],2020,Crowe,0,audit_window_p44,425900162,RM,1016524,0,45,49,
MDA_7035_CCK_2021,7035,CCK,CCK [s],2021,Crowe,0,audit_window_p46,435095812,RM,-1200827,1,47,51,
MDA_7035_CCK_2022,7035,CCK,CCK [s],2022,Crowe,0,audit_window_p46,505343877,RM,16623000,0,47,78,
MDA_7035_CCK_2023,7035,CCK,CCK [s],2023,Crowe,0,audit_window_p58,576246077,RM,17570000,0,59,79,
MDA_7035_CCK_2024,7035,CCK,CCK [s],2024,Crowe,0,audit_window_p63,767961003,RM,52239787,0,64,83,
MDA_7103_SPRITZER_2020,7103,SPRITZER,SPRITZER [s],2020,Deloitte,1,audit_window_p98,516549,RM'000,35660,0,101,138,
MDA_7103_SPRITZER_2021,7103,SPRITZER,SPRITZER [s],2021,Deloitte,1,audit_window_p77,557947,RM'000,24239,0,80,116,
