document_id,stock_code,ticker,year,auditor_firm,big4,total_assets_rm000,profit_rm000,loss_flag,unit,notes
MDA_5202_MSM_2024,5202,MSM,2024,PwC,1,3186514,31254,0,RM'000,
MDA_5306_FFB_2022,5306,FFB,2022,KPMG,1,1010014392,78565346,0,RM,
MDA_5306_FFB_2023,5306,FFB,2023,KPMG,1,1062635894,49934,0,RM,profit_from_next_year_comparative
MDA_5306_FFB_2024,5306,FFB,2024,KPMG,1,1279601,63281,0,RM'000,
MDA_5533_OCB_2020,5533,OCB,2020,Grant Thornton,0,276770,2584,0,RM'000,
MDA_5533_OCB_2021,5533,OCB,2021,Grant Thornton,0,302595,-14296,1,RM'000,
MDA_5533_OCB_2022,5533,OCB,2022,Grant Thornton,0,301341,-3768,1,RM'000,
MDA_5533_OCB_2023,5533,OCB,2023,Grant Thornton,0,313035,8519,0,RM'000,
MDA_5533_OCB_2024,5533,OCB,2024,Grant Thornton,0,299950,8841,0,RM'000,
MDA_6203_KHEESAN_2021,6203,KHEESAN,2021,Kreston,0,74911530,-58325818,1,RM,
MDA_6203_KHEESAN_2022,6203,KHEESAN,2022,Kreston,0,70814096,-13735839,1,RM,profit_manual_verified
MDA_6203_KHEESAN_2023,6203,KHEESAN,2023,Kreston,0,70631964,-2539923,1,RM,
MDA_6203_KHEESAN_2024,6203,KHEESAN,2024,Kreston,0,71898278,1725976,0,RM,ta_manual_verified
MDA_6432_APOLLO_2020,6432,APOLLO,2020,BDO,0,263306167,19942393,0,RM,
MDA_6432_APOLLO_2021,6432,APOLLO,2021,BDO,0,260523349,23282051,0,RM,
MDA_6432_APOLLO_2022,6432,APOLLO,2022,BDO,0,242474359,13329537,0,RM,
MDA_6432_APOLLO_2023,6432,APOLLO,2023,BDO,0,254969399,39881068,0,RM,
MDA_6432_APOLLO_2024,6432,APOLLO,2024,KPMG,1,246352791,54127436,0,RM,
MDA_7035_CCK_2020,7035,CCK,2020,Crowe,0,425900162,1016524,0,RM,
MDA_7035_CCK_2021,7035,CCK,2021,Crowe,0,435095812,-1200827,1,RM,
MDA_7035_CCK_2022,7035,CCK,2022,Crowe,0,505343877,16623000,0,RM,
MDA_7035_CCK_2023,7035,CCK,2023,Crowe,0,576246077,17570000,0,RM,
MDA_7035_CCK_2024,7035,CCK,2024,Crowe,0,767961003,52239787,0,RM,
MDA_7103_SPRITZER_2020,7103,SPRITZER,2020,Deloitte,1,516549,35660,0,RM'000,
MDA_7103_SPRITZER_2021,7103,SPRITZER,2021,Deloitte,1,557947,24239,0,RM'000,
MDA_7103_SPRITZER_2022,7103,SPRITZER,2022,Deloitte,1,600954,36965,0,RM'000,
MDA_7103_SPRITZER_2023,7103,SPRITZER,2023,Deloitte,1,687910,49486,0,RM'000,
MDA_7103_SPRITZER_2024,7103,SPRITZER,2024,Deloitte,1,772116,71111,0,RM'000,
MDA_7107_OFI_2020,7107,OFI,2020,Crowe,0,248785020,9698825,0,RM,
MDA_7107_OFI_2021,7107,OFI,2021,Crowe,0,266790768,18800841,0,RM,
MDA_7107_OFI_2022,7107,OFI,2022,Crowe,0,282212551,18363125,0,RM,
MDA_7107_OFI_2023,7107,OFI,2023,Crowe,0,288125271,19255757,0,RM,
MDA_7167_ABLEGLOB_2020,7167,ABLEGLOB,2020,Crowe,0,470370328,39489984,0,RM,
MDA_7167_ABLEGLOB_2021,7167,ABLEGLOB,2021,Crowe,0,531404899,36911517,0,RM,
MDA_7167_ABLEGLOB_2022,7167,ABLEGLOB,2022,Crowe,0,720612887,33385382,0,RM,
MDA_7167_ABLEGLOB_2023,7167,ABLEGLOB,2023,Crowe,0,802572208,51857196,0,RM,
MDA_7167_ABLEGLOB_2024,7167,ABLEGLOB,2024,Crowe,0,832997272,-5048884,1,RM,
MDA_7216_KAWAN_2020,7216,KAWAN,2020,RSM,0,416646794,12189784,0,RM,
MDA_7216_KAWAN_2021,7216,KAWAN,2021,RSM,0,434957167,28017858,0,RM,
MDA_7216_KAWAN_2022,7216,KAWAN,2022,RSM,0,460810382,35842450,0,RM,
MDA_7216_KAWAN_2023,7216,KAWAN,2023,RSM,0,460756709,30028103,0,RM,
MDA_7216_KAWAN_2024,7216,KAWAN,2024,RSM,0,457487666,30943045,0,RM,
MDA_7237_PWROOT_2020,7237,PWROOT,2020,KPMG,1,376572806,51745703,0,RM,
MDA_7237_PWROOT_2021,7237,PWROOT,2021,KPMG,1,348725659,28339429,0,RM,
MDA_7237_PWROOT_2022,7237,PWROOT,2022,KPMG,1,386382480,26318677,0,RM,
MDA_7237_PWROOT_2023,7237,PWROOT,2023,KPMG,1,438153273,59450679,0,RM,
MDA_7237_PWROOT_2024,7237,PWROOT,2024,KPMG,1,505509512,42307929,0,RM,
MDA_7243_MAGMA_2020,7243,MAGMA,2020,Moore,0,194724118,-1350374,1,RM,
MDA_7243_MAGMA_2021,7243,MAGMA,2021,Moore,0,203929235,-7971930,1,RM,
MDA_7243_MAGMA_2022,7243,MAGMA,2022,Moore,0,221815440,-37729,1,RM,profit_from_next_year_comparative
MDA_7243_MAGMA_2023,7243,MAGMA,2023,Moore,0,245212560,1026311,0,RM,
MDA_7243_MAGMA_2024,7243,MAGMA,2024,Moore,0,248756724,4184367,0,RM,
MDA_8303_LOTUS_2020,8303,LOTUS,2020,Grant Thornton,0,80155983,9926836,0,RM,
MDA_8303_LOTUS_2021,8303,LOTUS,2021,Grant Thornton,0,86921579,2661144,0,RM,
MDA_8303_LOTUS_2022,8303,LOTUS,2022,Grant Thornton,0,88396844,2661144,0,RM,
MDA_8303_LOTUS_2023,8303,LOTUS,2023,TGS TW,0,100567579,2661893,0,RM,
MDA_8303_LOTUS_2024,8303,LOTUS,2024,TGS TW,0,102274008,2661893,0,RM,
