document_id,doc_type,ticker,company_name,publish_date,source_name,title,url,article_text_hash,text_length,synthetic_flag,include_flag,relevance_status,confidence_tier,needs_manual_review,review_reason,shared_article_flag,multi_company_article_flag,original_file,original_file_hash,raw_row_key,text_path,notes
NEWS_PPB_2024_11_28_542e8052de,news,PPB,PPB Group Berhad,2024-11-28,The Star,PPB's 3Q net profit falls to RM208.12mil,https://www.thestar.com.my/business/business-news/2024/11/28/ppb039s-3q-net-profit-falls-to-rm20812mil,4b27cdb940c36a981ad9bf31acf5073ec6a067918e0202d1d48cff6c2a53f770,1516,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 95}:dbba9c2ce6b3",02_extracted_text/news_clean/NEWS_PPB_2024_11_28_542e8052de.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_09_06_37ef99cc5c,news,PPB,PPB Group Berhad,2024-09-06,The Star,Better prospects for plantation companies in 2H24,https://www.thestar.com.my/business/business-news/2024/09/06/better-prospects-for-plantation-companies-in-2h24,28b76652e473131a47ae2f11a4bcfbb1154c30f6ddd59a815e716cde41896abe,3368,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 116}:0c1322892b54",02_extracted_text/news_clean/NEWS_PPB_2024_09_06_37ef99cc5c.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_09_06_c0abc7d33f,news,PPB,PPB Group Berhad,2024-09-06,The Star,PPB expects uptick in consumer product ops,https://www.thestar.com.my/business/business-news/2024/09/06/ppb-expects-uptick-in-consumer-product-ops,072e186f5fede1d1b7772647953fd8d2be96108934e660b70a26474bacb7e281,3127,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 117}:bd97f50186a6",02_extracted_text/news_clean/NEWS_PPB_2024_09_06_c0abc7d33f.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_09_05_b64b39b6ec,news,PPB,PPB Group Berhad,2024-09-05,The Star,Higher yearly earnings for plantation companies,https://www.thestar.com.my/business/business-news/2024/09/05/higher-yearly-earnings-for-plantation-companies,2b06740afd16ba7ab31b53cb2299ea74afbfdb6437fb542f0f2a50d4dd3ff819,4384,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 120}:9f9cbf1ae679",02_extracted_text/news_clean/NEWS_PPB_2024_09_05_b64b39b6ec.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_08_30_013fe4fff4,news,PPB,PPB Group Berhad,2024-08-30,The Star,PPB Group quarterly earnings higher at RM309mil,https://www.thestar.com.my/business/business-news/2024/08/30/ppb-group-quarterly-earnings-higher-at-rm309mil,8d6f6084c972814dc4329dd340bb637a24e2b4527f133a43a6d1128cb30f9bfa,995,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 124}:ff8a492bfe42",02_extracted_text/news_clean/NEWS_PPB_2024_08_30_013fe4fff4.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_08_29_3b94579d0a,news,PPB,PPB Group Berhad,2024-08-29,The Star,PPB Group 2Q net profit higher at RM308.919mil,https://www.thestar.com.my/business/business-news/2024/08/29/ppb-group-2q-net-profit-higher-at-rm308919mil,aca562d4c24b96acdcfbcf22de2dfa0706e8d6ff213014626f252dd83d4af32c,1092,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 125}:511a589b30cc",02_extracted_text/news_clean/NEWS_PPB_2024_08_29_3b94579d0a.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_08_15_76917e3c4c,news,PPB,PPB Group Berhad,2024-08-15,The Star,Softer earnings likely for PPB Group in 1H24,https://www.thestar.com.my/business/business-news/2024/08/15/softer-earnings-likely-for-ppb-group-in-1h24,14c4c1e5ca70f11b6c8b6f95a93edfa50938e030a858cd5ef3337a00c14696f5,3306,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 128}:8e04930db769",02_extracted_text/news_clean/NEWS_PPB_2024_08_15_76917e3c4c.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_06_25_1f5058a240,news,PPB,PPB Group Berhad,2024-06-25,The Star,Toy library a treasure trove for B40 in Lembah Subang,https://www.thestar.com.my/metro/metro-news/2024/06/25/toy-library-a-treasure-trove-for-b40-in-lembah-subang,aecbbf8446659cfc09b706b430d6ee23fe0c4b1a24cb17122b1e1421c46780e2,3455,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 139}:3cdbe775843c",02_extracted_text/news_clean/NEWS_PPB_2024_06_25_1f5058a240.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_06_19_90873d2b58,news,PPB,PPB Group Berhad,2024-06-19,The Star,Techbond in the spotlight,https://www.thestar.com.my/business/business-news/2024/06/19/techbond-in-the-spotlight,1eee31413c9f153a61f5595e9f0946461612a746cb6fece6ade5d3e27fa7f6fe,2560,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 141}:1d9f01f09b0f",02_extracted_text/news_clean/NEWS_PPB_2024_06_19_90873d2b58.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_06_11_be261e3503,news,PPB,PPB Group Berhad,2024-06-11,The Star,Muted near-term downstream earnings likely for planters,https://www.thestar.com.my/business/business-news/2024/06/11/muted-near-term-downstream-earnings-likely-for-planters,381e07f79eed59c97c6117c2d4d2aa817bba45ba40bea1462955000743c7e2fc,3311,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 144}:c4b8edb8d8f6",02_extracted_text/news_clean/NEWS_PPB_2024_06_11_be261e3503.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_06_04_85c6d017d5,news,PPB,PPB Group Berhad,2024-06-04,The Star,Brighter prospects for PPB Group on China recovery,https://www.thestar.com.my/business/business-news/2024/06/04/brighter-prospects-for-ppb-group-on-china-recovery,054b65029f41c882036d8f10be09efabfcdcf16ef07e8f500a669b3d7a7d2235,2121,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 147}:a6c5c7dd8473",02_extracted_text/news_clean/NEWS_PPB_2024_06_04_85c6d017d5.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_06_04_c7ed71f649,news,PPB,PPB Group Berhad,2024-06-04,The Star,High expectations for corporate earnings,https://www.thestar.com.my/business/business-news/2024/06/04/high-expectations--for-corporate-earnings,4402b9cc9bdba665b0e87f5255f8cc7cc436ed58d5cb0e4f55a4f4a31ae4c524,5292,false,Yes,low_confidence_company_news,low,Yes,stock_market_roundup_list_only,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 148}:30f5d0ce7d32",02_extracted_text/news_clean/NEWS_PPB_2024_06_04_c7ed71f649.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_05_30_4398a6b842,news,PPB,PPB Group Berhad,2024-05-30,The Star,PPB posts lower net profit of RM337.17mil in 1Q,https://www.thestar.com.my/business/business-news/2024/05/30/ppb-posts-lower-net-profit-of-rm33717mil-in-1q,ad06ecb57b4fbfa03af1dc06ef4a4e992374aa5f4a9710bff871a19ca2adf90f,2097,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 149}:ae6dcc6af3eb",02_extracted_text/news_clean/NEWS_PPB_2024_05_30_4398a6b842.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_03_20_e106615fa1,news,PPB,PPB Group Berhad,2024-03-20,The Star,Mixed outlook for plantations on downstream margin drag,https://www.thestar.com.my/business/business-news/2024/03/20/mixed-outlook-for-plantations-on-downstream-margin-drag,34c4d58f26858c9ef38e991f7c7a753fa7e3a52ee8f2a46becf7d4f9151f6bcd,2313,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 165}:12e405e5e08a",02_extracted_text/news_clean/NEWS_PPB_2024_03_20_e106615fa1.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_PPB_2024_03_07_9a5d462dbc,news,PPB,PPB Group Berhad,2024-03-07,The Star,"PPB to spend RM419mil on flour, feed milling unit",https://www.thestar.com.my/business/business-news/2024/03/07/ppb-to-spend-rm419mil-on-flour-feed-milling-unit,1e92ccdec5c5d5142195043782bc748d7d450266fee79d40c90aaf1135d18f0a,2803,false,Yes,high_confidence_company_news,high,No,,1,0,New_news/PPB/PPB_news.csv,ebffdac47db3b0ac2eb44a1b3940e1bae79ecfdd1d23d11f0d8629f713b35ff7,"New_news_PPB_PPB_news_csv:{""row_number"": 169}:3a7d6cb9688d",02_extracted_text/news_clean/NEWS_PPB_2024_03_07_9a5d462dbc.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
NEWS_SPRITZER_2026_01_01_29fb9054f6,news,SPRITZER,SPRITZER,2026-01-01,The Star,SupportLine,https://www.thestar.com.my/business/business-news/2026/01/01/supportline,1ec0e69795b9a6490f6303568754cea6556f90567b619d2eb03204dc3823cbc6,1997,false,Yes,low_confidence_company_news,low,Yes,weak_company_specific_context,1,1,New_news/SPRITZER/SPRITZER_news.csv,773d67a6f9c6dae5777b3e0a0ad1ed087c722bea6cb6a23296e9c18ef3f12c48,"New_news_SPRITZER_SPRITZER_news_csv:{""row_number"": 1}:053687951a06",02_extracted_text/news_clean/NEWS_SPRITZER_2026_01_01_29fb9054f6.txt,source=Filter news real article text; synthetic_flag=false; registry_selection_flag=broad_include_flag
