document_id,num_financial_mentions,num_calculable_changes,num_consistent_checks,num_minor_discrepancies,num_material_discrepancies,num_severe_direction_conflicts,num_not_calculable,has_revenue_discussion,has_profit_discussion,has_cost_discussion,has_segment_discussion,has_margin_discussion,overall_numeric_consistency,internal_check_notes
MDA_4707_NESTLE_2021,23,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_4707_NESTLE_2022,19,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_4707_NESTLE_2023,6,0,0,0,0,0,0,True,True,True,False,False,not_enough_numbers,
MDA_4707_NESTLE_2024,14,0,0,0,0,0,0,True,False,True,True,True,not_enough_numbers,
MDA_5008_HARISON_2021,2,0,0,0,0,0,0,True,False,False,False,False,not_enough_numbers,
MDA_5008_HARISON_2022,46,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5008_HARISON_2023,62,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 2025.10, stated total 2023.00, difference 0.10%."
MDA_5008_HARISON_2024,68,1,0,0,1,0,0,True,True,True,True,True,weak,"segment revenue: components sum 4233.30, stated total 2024.00, difference 109.16%, status material_discrepancy."
MDA_5102_GCB_2020,33,0,0,0,0,0,0,True,True,True,False,False,not_enough_numbers,
MDA_5102_GCB_2021,203,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5102_GCB_2022,129,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5102_GCB_2023,141,1,1,0,0,0,0,True,True,True,True,True,moderate,"revenue: stated 20.40%, calculated 20.39%, status consistent."
MDA_5102_GCB_2024,5,0,0,0,0,0,0,False,True,True,False,True,not_enough_numbers,
MDA_5157_SG_2020,33,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5157_SG_2021,35,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5157_SG_2022,43,1,0,1,0,0,1,True,True,True,True,True,moderate,"margin: stated 18.40%, calculated 17.39% from profit/revenue, status minor_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 539042.00, stated total 96.90, difference 556186.89%."
MDA_5157_SG_2023,38,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 589747.16, stated total 1.30, difference 45365066.15%."
MDA_5157_SG_2024,27,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5187_HBGLOB_2020,17,1,0,0,1,0,0,True,True,True,True,True,weak,"margin: stated 28.50%, calculated 75.17% from profit/revenue, status material_discrepancy."
MDA_5187_HBGLOB_2021,8,0,0,0,0,0,0,True,False,True,True,True,not_enough_numbers,
MDA_5187_HBGLOB_2022,25,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5187_HBGLOB_2023,19,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_5187_HBGLOB_2024,40,2,0,0,2,0,0,True,True,True,False,True,weak,"margin: stated 19.00%, calculated 2508.05% from profit/revenue, status material_discrepancy. | margin: stated 1.30%, calculated 18.96% from profit/revenue, status material_discrepancy."
MDA_5188_CNOUHUA_2020,15,0,0,0,0,0,0,True,True,False,False,False,not_enough_numbers,
MDA_5188_CNOUHUA_2021,16,0,0,0,0,0,0,True,True,False,False,False,not_enough_numbers,
MDA_5188_CNOUHUA_2022,15,0,0,0,0,0,0,True,True,False,False,False,not_enough_numbers,
MDA_5188_CNOUHUA_2023,16,0,0,0,0,0,0,True,True,False,False,False,not_enough_numbers,
MDA_5188_CNOUHUA_2024,15,0,0,0,0,0,0,True,True,False,False,False,not_enough_numbers,
MDA_5202_MSM_2020,229,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5202_MSM_2021,46,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_5202_MSM_2022,54,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5202_MSM_2023,126,1,0,0,1,0,1,True,True,True,True,True,weak,"margin: stated 10.00%, calculated 71.43% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 8059.00, stated total 2023.00, difference 298.37%."
MDA_5202_MSM_2024,0,0,0,0,0,0,0,False,False,False,False,False,not_enough_numbers,
MDA_5306_FFB_2022,42,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5306_FFB_2023,139,2,1,0,1,0,0,True,True,True,True,True,weak,"REVENUE: stated -20.60%, calculated -20.55%, status consistent. | margin: stated 3.40%, calculated 27.16% from profit/revenue, status material_discrepancy."
MDA_5306_FFB_2024,14,0,0,0,0,0,1,True,False,False,True,False,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 1098113.00, stated total 2024.00, difference 54154.59%."
MDA_5533_OCB_2020,35,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_5533_OCB_2021,17,0,0,0,0,0,1,True,True,True,True,False,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 4216.40, stated total 84.14, difference 4911.17%."
MDA_5533_OCB_2022,113,0,0,0,0,0,2,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 195901015777.10, stated total 2022.00, difference 9688477435.96%. | segment revenue: possible table extraction or multi-year pairing issue; components sum 4203.80, stated total 85.00, difference 4845.65%."
MDA_5533_OCB_2023,116,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_5533_OCB_2024,34,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_6203_KHEESAN_2021,11,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_6203_KHEESAN_2022,18,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_6203_KHEESAN_2023,62,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 4192.20, stated total 33.00, difference 12603.64%."
MDA_6203_KHEESAN_2024,57,1,1,0,0,0,1,True,True,True,True,True,moderate,"margin: stated 25.80%, calculated 25.81% from profit/revenue, status consistent. | segment revenue: possible table extraction or multi-year pairing issue; components sum 10336.80, stated total 52.30, difference 19664.44%."
MDA_6432_APOLLO_2020,22,1,0,0,1,0,0,True,True,True,False,True,weak,"profit: stated 1.46%, calculated 5.89%, status material_discrepancy."
MDA_6432_APOLLO_2021,22,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
