document_id,ticker,company_name,title,source_name,publish_date,url,relevance_status,confidence_tier,main_model_include_flag,company_focus_status,suspect_not_company_focused,company_focus_reason,strict_main_sample_include,title_focus_alias_hits,lead_focus_alias_hits,filter_mode,filter_version
NEWS_NESTLE_2024_11_14_03ee223992,NESTLE,Nestle Malaysia Berhad,Lucky duo gets salary for lifetime,The Star,2024-11-14,https://www.thestar.com.my/metro/metro-news/2024/11/14/lucky-duo-gets-salary-for-lifetime,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_10_25_53b1895f8b,NESTLE,Nestle Malaysia Berhad,A boost for consumption from Budget 2025,The Star,2024-10-25,https://www.thestar.com.my/business/business-news/2024/10/25/a-boost-for-consumption-from-budget-2025,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_09_30_e5b1ac6727,NESTLE,Nestle Malaysia Berhad,Company pitches in with food aid for flood victims,The Star,2024-09-30,https://www.thestar.com.my/metro/metro-news/2024/09/30/company-pitches-in-with-food-aid-for-flood-victims,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_09_05_d85c0b2d71,NESTLE,Nestle Malaysia Berhad,Local grad honoured for leading green initiatives,The Star,2024-09-05,https://www.thestar.com.my/metro/metro-news/2024/09/05/local-grad-honoured-for-leading-green-initiatives,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_06_05_fb87b4df17,NESTLE,Nestle Malaysia Berhad,2.8 million trees planted in reforestation efforts,The Star,2024-06-05,https://www.thestar.com.my/metro/metro-news/2024/06/05/28-million-trees-planted-in-reforestation-efforts,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_NESTLE_2024_03_08_b10239edc7,NESTLE,Nestle Malaysia Berhad,Nestle Malaysia commissions RM18mil biomass boiler at Chembong complex to reduce carbon footprint,The Star,2024-03-08,https://www.thestar.com.my/metro/metro-news/2024/03/08/nestle-malaysia-commissions-rm18mil-biomass-boiler-at-chembong-complex-to-reduce-carbon-footprint,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,soft_csr_lifestyle_or_event_story,No,Nestle|Nestle Malaysia,Nestle|Nestle Malaysia,manual_preserve,manual_preserve_v1
NEWS_ORGABIO_2025_05_22_63f5a4d15c,ORGABIO,Orgabio Holdings Berhad,Orgabio optimistic on instant beverage market growth,The Star,2025-05-22,https://www.thestar.com.my/business/business-news/2025/05/22/orgabio-optimistic-on-instant-beverage-market-growth,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,Orgabio,Orgabio,manual_preserve,manual_preserve_v1
NEWS_PPB_2025_10_03_5e4771fefe,PPB,PPB Group Berhad,Leong Hup unit wins relief from MyCC fine,The Star,2025-10-03,https://www.thestar.com.my/business/business-news/2025/10/03/leong-hup-unit-wins-relief-from-mycc-fine,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2025_10_02_62db2f4c6a,PPB,PPB Group Berhad,"High Court grants Leong Hup, PPB’s FFM stay on MyCC penalties",The Star,2025-10-02,https://www.thestar.com.my/business/business-news/2025/10/02/high-court-grants-leong-hup-ppbs-ffm-stay-on-mycc-penalties,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2025_09_25_2ed0f53daf,PPB,PPB Group Berhad,PPB valuations remain attractive,The Star,2025-09-25,https://www.thestar.com.my/business/business-news/2025/09/25/ppb-valuations-remain-attractive,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,PPB Group,manual_preserve,manual_preserve_v1
NEWS_PPB_2025_08_08_9f5b2b8a71,PPB,PPB Group Berhad,KLCI edges higher at midday on selective buying in heavyweights,The Star,2025-08-08,https://www.thestar.com.my/business/business-news/2025/08/08/klci-edges-higher-at-midday-on-selective-buying-in-heavyweights,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_09_06_37ef99cc5c,PPB,PPB Group Berhad,Better prospects for plantation companies in 2H24,The Star,2024-09-06,https://www.thestar.com.my/business/business-news/2024/09/06/better-prospects-for-plantation-companies-in-2h24,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_09_05_b64b39b6ec,PPB,PPB Group Berhad,Higher yearly earnings for plantation companies,The Star,2024-09-05,https://www.thestar.com.my/business/business-news/2024/09/05/higher-yearly-earnings-for-plantation-companies,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_06_25_1f5058a240,PPB,PPB Group Berhad,Toy library a treasure trove for B40 in Lembah Subang,The Star,2024-06-25,https://www.thestar.com.my/metro/metro-news/2024/06/25/toy-library-a-treasure-trove-for-b40-in-lembah-subang,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_06_11_be261e3503,PPB,PPB Group Berhad,Muted near-term downstream earnings likely for planters,The Star,2024-06-11,https://www.thestar.com.my/business/business-news/2024/06/11/muted-near-term-downstream-earnings-likely-for-planters,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_06_04_c7ed71f649,PPB,PPB Group Berhad,High expectations for corporate earnings,The Star,2024-06-04,https://www.thestar.com.my/business/business-news/2024/06/04/high-expectations--for-corporate-earnings,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,stock_market_roundup_list_only,No,,,manual_preserve,manual_preserve_v1
NEWS_PPB_2024_03_20_e106615fa1,PPB,PPB Group Berhad,Mixed outlook for plantations on downstream margin drag,The Star,2024-03-20,https://www.thestar.com.my/business/business-news/2024/03/20/mixed-outlook-for-plantations-on-downstream-margin-drag,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2026_01_01_29fb9054f6,SPRITZER,SPRITZER,SupportLine,The Star,2026-01-01,https://www.thestar.com.my/business/business-news/2026/01/01/supportline,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_12_19_5cfa1fd486,SPRITZER,SPRITZER,"Tourism, policy support to boost consumer sector",The Star,2025-12-19,https://www.thestar.com.my/business/business-news/2025/12/19/tourism-policy-support-to-boost-consumer-sector,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_11_14_13ba2ae89f,SPRITZER,SPRITZER,Inbound tourists to bring growth along for the ride,The Star,2025-11-14,https://www.thestar.com.my/business/business-news/2025/11/14/inbound-tourists-to-bring-growth-along-for-the-ride,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_10_01_77c6d3d985,SPRITZER,SPRITZER,Retail growth to remain resilient with subsidies,The Star,2025-10-01,https://www.thestar.com.my/business/business-news/2025/10/01/retail-growth-to-remain-resilient-with-subsidies,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_09_11_1b0940a58d,SPRITZER,SPRITZER,Switch to value stocks holds investor potential,The Star,2025-09-11,https://www.thestar.com.my/business/business-news/2025/09/11/switch-to-value-stocks-holds-investor-potential,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_06_19_a751838def,SPRITZER,SPRITZER,Consumer staples favourable amid expanded SST,The Star,2025-06-19,https://www.thestar.com.my/business/business-news/2025/06/19/consumer-staples-favourable-amid-expanded-sst,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_06_19_2524a9463e,SPRITZER,SPRITZER,SupportLine,The Star,2025-06-19,https://www.thestar.com.my/business/business-news/2025/06/19/supportline,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_04_16_1dd4fe73e3,SPRITZER,SPRITZER,Life Water targets high-capacity expansion,The Star,2025-04-16,https://www.thestar.com.my/business/business-news/2025/04/16/life-water-targets-high-capacity-expansion,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2025_03_19_8da837678a,SPRITZER,SPRITZER,Consumer sector poised to capitalise on tourism windfall,The Star,2025-03-19,https://www.thestar.com.my/business/business-news/2025/03/19/consumer-sector-poised-to-capitalise-on-tourism-windfall,low_confidence_company_news,low,Yes,suspect_not_company_focused,Yes,no_title_or_lead_company_alias,No,,,manual_preserve,manual_preserve_v1
NEWS_SPRITZER_2024_11_14_d25845d8ea,SPRITZER,SPRITZER,Spritzer’s sparkling potential undervalued by market,The Star,2024-11-14,https://www.thestar.com.my/business/business-news/2024/11/14/spritzers-sparkling-potential-undervalued-by-market,high_confidence_company_news,high,Yes,suspect_not_company_focused,Yes,sponsor_list_or_csr_only,No,Spritzer,Spritzer Bhd|Spritzer,manual_preserve,manual_preserve_v1
