document_id,doc_type,include_flag,stock_code,ticker,company_name,report_year,extraction_status,text_path,source_path,source_file_sha256,notes
MDA_2836_CARLSBG_2020,mda,Yes,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2020,success,02_extracted_text/mda/MDA_2836_CARLSBG_2020.txt,01_raw_annual_reports_source_remediation/2836_CARLSBG_2020_source_remediated_part1_57d40682.pdf; 01_raw_annual_reports_source_remediation/2836_CARLSBG_2020_source_remediated_part2_c63427bd.pdf; 01_raw_annual_reports_source_remediation/2836_CARLSBG_2020_source_remediated_part3_dad1f19f.pdf,2836_CARLSBG_2020_source_remediated_part1_57d40682.pdf:57d40682bfccebcd90713019691638f75200c3facf792c886b56d0b7226d0f1c; 2836_CARLSBG_2020_source_remediated_part2_c63427bd.pdf:c63427bdd34d5224fbc833b0e06d57c36ed21fd30779211f87caab817975c612; 2836_CARLSBG_2020_source_remediated_part3_dad1f19f.pdf:dad1f19fc6a31b322a9ed7e44c177421fbed783376c95f10b017ca84fba6163a,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=43522
MDA_2836_CARLSBG_2021,mda,Yes,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2021,success,02_extracted_text/mda/MDA_2836_CARLSBG_2021.txt,01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2021/2836_CARLSBG_AR_2021_part1.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2021/2836_CARLSBG_AR_2021_part2.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2021/2836_CARLSBG_AR_2021_part3.pdf,2836_CARLSBG_AR_2021_part1.pdf:c4add0c28b9d836bd82ab56b462379ccb66ed415a5b3362f0308447ff4a5d8e6; 2836_CARLSBG_AR_2021_part2.pdf:80257e01da8d5d91aa4863389042ae12690de5b5f979f0324505229cb201f2b7; 2836_CARLSBG_AR_2021_part3.pdf:d3ebf7c7bacd215be15f3269b859e37c4b194e06f8f845db8260c8aea1f40dc2,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=50655.0
MDA_2836_CARLSBG_2022,mda,Yes,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2022,success,02_extracted_text/mda/MDA_2836_CARLSBG_2022.txt,01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2022/2836_CARLSBG_AR_2022_part1.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2022/2836_CARLSBG_AR_2022_part2.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2022/2836_CARLSBG_AR_2022_part3.pdf,2836_CARLSBG_AR_2022_part1.pdf:7ea6d6f3c7a851a05e3482f0a33e85fae7378bc620d0d303d6119bf3e7ba198d; 2836_CARLSBG_AR_2022_part2.pdf:7479d326c76545312d1dc555030845a904b40a5e1a3cc1f54543414d60a4d8ac; 2836_CARLSBG_AR_2022_part3.pdf:7df8f45ca5995f09baf74dba97606f0c01eee7eacd54b6340569d05bdb830d7b,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=64509
MDA_2836_CARLSBG_2023,mda,Yes,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2023,success,02_extracted_text/mda/MDA_2836_CARLSBG_2023.txt,01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2023/2836_CARLSBG_AR_2023_part1.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2023/2836_CARLSBG_AR_2023_part2.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2023/2836_CARLSBG_AR_2023_part3.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2023/2836_CARLSBG_AR_2023_part4.pdf,2836_CARLSBG_AR_2023_part1.pdf:24f7d64838754be629f455a748b90368786a1a1c82ef10dd68d5bd55f040cd1f; 2836_CARLSBG_AR_2023_part2.pdf:d1f3fc702808391155f4bc6392221785725f7ba2bb49a10d891052bcc104af50; 2836_CARLSBG_AR_2023_part3.pdf:7c89f8fea3a1144612e192b5b18f11d0e2fed39f44320689c5b723e3fbcb2522; 2836_CARLSBG_AR_2023_part4.pdf:f0570003465d14cae7bdd9c52abfc6f9e4b8f8ff606e4573a5e9197e94b5ee32,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=3323
MDA_2836_CARLSBG_2024,mda,Yes,2836,CARLSBG,Carlsberg Brewery Malaysia Berhad,2024,success,02_extracted_text/mda/MDA_2836_CARLSBG_2024.txt,01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2024/2836_CARLSBG_AR_2024_part1.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2024/2836_CARLSBG_AR_2024_part2.pdf; 01_raw_annual_reports/2836_CARLSBG_CARLSBERG_BREWERY_AR_REPORT_2020_PART_1/2024/2836_CARLSBG_AR_2024_part3.pdf,2836_CARLSBG_AR_2024_part1.pdf:fd6f2508639806796c6e008a443eb5781a404207f5be5b36377067c7c91ffc17; 2836_CARLSBG_AR_2024_part2.pdf:b84a267b5449da0f0d052f3fc6f03ab2531ee0649c3fe0500eb1d8e014696919; 2836_CARLSBG_AR_2024_part3.pdf:393193f61f2cf78e1b92e8a70249aa8f17d5dd2b9bbec90a4a54fbe9117b615c; 2836_CARLSBG_AR_2024.pdf:fd6f2508639806796c6e008a443eb5781a404207f5be5b36377067c7c91ffc17,detected_heading=MANAGEMENT DISCUSSION AND ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=2270
MDA_3026_DLADY_2020,mda,Yes,3026,DLADY,DL,2020,success,02_extracted_text/mda/MDA_3026_DLADY_2020.txt,01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2020/3026_DLADY_AR_2020_part1.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2020/3026_DLADY_AR_2020_part2.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2020/3026_DLADY_AR_2020_part3.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2020/3026_DLADY_AR_2020.pdf,3026_DLADY_AR_2020_part1.pdf:dfe1328545d2d1ec5d8b908c0111a425a5983f5469a10e7aa4be3a3b8da35eea; 3026_DLADY_AR_2020_part2.pdf:5b9fc395eb0db3022caedb30e38fd53a85314d246b35fa9f06c4fcf6d86568f2; 3026_DLADY_AR_2020_part3.pdf:b1fc4efe18557035717b6299f7fea26e40ffed568e3e20d6ab4afc44179b5272; 3026_DLADY_AR_2020.pdf:dfe1328545d2d1ec5d8b908c0111a425a5983f5469a10e7aa4be3a3b8da35eea,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=21471.0
MDA_3026_DLADY_2021,mda,Yes,3026,DLADY,DL,2021,success,02_extracted_text/mda/MDA_3026_DLADY_2021.txt,01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2021/3026_DLADY_AR_2021_part1.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2021/3026_DLADY_AR_2021_part2.pdf,3026_DLADY_AR_2021_part1.pdf:c96d53c4e96d84a61fd86797424e13f84a8321458bf4419eda5a1639154393e4; 3026_DLADY_AR_2021_part2.pdf:56e8ba2cd67ae4d99c4ada4e52cfa149038c3645b754f4eba1a5366c5a4e3ac8,detected_heading=MANAGEMENT DISCUSSION & ANALYSIS; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=26648.0
MDA_3026_DLADY_2022,mda,Yes,3026,DLADY,DL,2022,success,02_extracted_text/mda/MDA_3026_DLADY_2022.txt,01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2022/3026_DLADY_AR_2022_part1.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2022/3026_DLADY_AR_2022_part2.pdf,3026_DLADY_AR_2022_part1.pdf:1347712ffe3ac8ae6454df98c31634a83d8c8484bfaa889063ffc50cca146d51; 3026_DLADY_AR_2022_part2.pdf:6971e81973010560e51315954175522bcb5d99efd3a202549ce9e6a245e07f18,detected_heading=Management Discussion & Analysis; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=43416.0
MDA_3026_DLADY_2023,mda,Yes,3026,DLADY,DL,2023,success,02_extracted_text/mda/MDA_3026_DLADY_2023.txt,01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2023/3026_DLADY_AR_2023_part1.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2023/3026_DLADY_AR_2023_part2.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2023/3026_DLADY_AR_2023.pdf,3026_DLADY_AR_2023_part1.pdf:3ecd9ef89ecf4d32a2914bc35207fd7aded8acda853785398433e2ac05e0720f; 3026_DLADY_AR_2023_part2.pdf:680740c3424dd526df97e93215cf9fcab4680eb692e3dbed7881cecc6aae9afc; 3026_DLADY_AR_2023.pdf:3ecd9ef89ecf4d32a2914bc35207fd7aded8acda853785398433e2ac05e0720f,detected_heading=Management Discussion & Analysis – Strategic Review | 04 | 05 | 06 | 07 |; section_type_norm=STRICT_OR_STRONG_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=66486.0
MDA_3026_DLADY_2024,mda,Yes,3026,DLADY,DL,2024,success,02_extracted_text/mda/MDA_3026_DLADY_2024.txt,01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2024/3026_DLADY_AR_2024_part1.pdf; 01_raw_annual_reports/3026_DLADY_DUTCH_LADY_MILK_INDUSTRIES_BERHAD/2024/3026_DLADY_AR_2024_part2.pdf,3026_DLADY_AR_2024_part1.pdf:0fbcfea59716cf9b96c044feea0bf7e2a00572bbe2ba7cfc7f4ab3fdd3656550; 3026_DLADY_AR_2024_part2.pdf:7c488a345fe45654a8d0bb0e343609414eecce0f0118828b78cbfa19ef4a9431,detected_heading=Managing Director's Report / Finance Director's Analysis / Product Highlights; section_type_norm=FUNCTIONAL_EQUIVALENT_MDA; confidence=HIGH; codex_final_status=CODEX_FINAL_PASS; char_count=70696
